"","Nu"
"ARCG161",48.1507327097506
"ARCG128",46.6914016439909
"BRST206",47.9849319727891
"FREN347",40.8471952947846
"HSAR403",76.8888888888889
"RLST182",67.5759467120181
"RLST206",50.5842304421769
"GMAN286",49.1207497165533
"CENG315",63.7606859410431
"PHYS382L",79.0673526077098
"ART130",70.5837414965986
"ART301",57.2365192743764
"MUSI221",63.5781689342404
"PHIL267",72.6815192743764
"CPSC411",64.0402097505669
"ART324",67.5605385487528
"FREN145",81.8791326530612
"ART114",68.8204081632653
"ART116",64.1994274376417
"ART138",68.3416326530612
"PHYS120",74.3663888888889
"ENGL450",54.6823979591837
"ENGL415",63.1187074829932
"HNDI159",78.8890192743764
"ZULU140",69.8091496598639
"CHNS163",75.4809297052154
"ENGL468",77.6516666666667
"ENGL481",62.9668764172336
"AKKD120",47.6879676870748
"ARBC120",48.6166866654069
"FREN120",47.8652239229025
"JAPN120",58.8086394557823
"LING125",65.1676318027211
"PLSH120",46.9659623015873
"VIET120",56.5756887755102
"CHNS120",50.1443381519274
"GREK120",52.3653032879819
"RUSS120",58.1161238662132
"ARBC146",34.8034739543966
"EGYP120",46.9253557256236
"HNDI120",56.9475297619048
"LATN120",58.5701530612245
"MGRK120",52.7259424603175
"SWAH120",64.6391326530612
"CZEC120",50.4807794784581
"INDN120",60.3246882086168
"TKSH120",62.4177791950113
"ITAL120",43.7882582199546
"PERS120",65.7844274376417
"PORT125",76.6659297052154
"KREN120",50.7586862244898
"ANTH459",72.7576303854875
"ITAL125",70.6678571428571
"SPAN145",67.7197675736961
"ARBC140",60.8545238095238
"HNDI140",54.4225240929705
"TKSH140",66.6457993197279
"MUSI360",69.0334481292517
"JAPN151",44.8356802721088
"KREN142",36.258431122449
"FILM395",81.1887074829932
"SWAH140",63.9986734693878
"GMAN315",49.3545181405896
"AMST235",45.7834594671202
"CHNS165",78.8354081632653
"LING231",39.9358276643991
"RUSS185",85.8161111111111
"CGSC216",40.3137740929705
"MCDB290",41.0577848639456
"CLSS405",61.9937868480726
"CLCV042",49.5068594104308
"ENGL017",39.6435246598639
"SPAN330",70.3155215419501
"HUMS275",48.0410714285714
"RLST191",51.5691510770975
"HSHM227",63.2511734693878
"ART121",79.8166496598639
"SPAN140",74.4329081632653
"YORU160",74.4096712018141
"ARCH348",49.8953585600907
"ART237",60.315470521542
"ART369",45.9197675736961
"E&EB474",65.9195068027211
"HSAR401",53.7427791950113
"YORU140",74.1886734693878
"ANTH335",67.8375623582766
"ANTH375",41.6997633219955
"CPSC432",70.3544444444444
"MUSI347",49.1495068027211
"SPAN142",77.5699659863946
"FREN333",48.3595351473923
"ECON108",76.5780215419501
"PSYC270",89.1636111111111
"APHY100",56.5472066326531
"ENGL252",52.729716553288
"MMES138",48.1902111678005
"FREN240",62.1512868480726
"APHY321",48.7669727891156
"ARCH251",82.7811111111111
"FREN130",64.7265192743764
"PORT211",75.1075
"AMST392",73.5394444444444
"MCDB345L",61.9958786848073
"BENG449",68.8434637188209
"STAT100",65.6212698412698
"MCDB461",74.4899829931973
"CPSC201",73.716320861678
"EENG201",67.5053231292517
"EENG310",70.4436734693878
"ENAS400",56.0486734693878
"GLBL223",54.5813718820862
"MUSI110",67.3247052154195
"EENG348",61.5180215419501
"CGSC371",76.8537414965986
"MENG185",76.9740192743764
"STAT365",67.1917120181406
"MENG403",76.8569274376417
"ART265",70.3198526077097
"CHEM134L",76.8763718820862
"ARCG424",43.7008460884354
"MUSI413",69.9533333333333
"PSYC429",44.1673299319728
"MUSI322",78.4302607709751
"FREN140",80.8013888888889
"ARCH162",68.9794274376417
"ART338",72.6330909863946
"ART342",71.9447052154195
"ENGL261",50.160341553288
"ART341",76.476649659864
"TKSH151",63.9223185941043
"ARCH161",65.5031519274376
"BENG464",81.4973526077098
"BENG351",73.6553911564626
"PSYC150",50.917477324263
"HUMS259",44.1589370748299
"LAST225",71.1556859410431
"MATH115",74.5687414965986
"PHYS478L",75.6212244897959
"E&EB223L",63.8416326530612
"CPSC473",56.6721712018141
"CLCV257",48.327641723356
"BENG453",47.3739101473923
"PHYS201",69.9145238095238
"FREN198",56.8244118480726
"MB&B571",79.6779081632653
"ENGL461",74.554574829932
"ENGL473",67.2300963718821
"AMST475",48.9900453514739
"ARCH249",81.6667970521542
"ECON452",50.7380839002268
"ECON115",46.2178684807256
"GLBL195",70.8559637188209
"MENG363L",55.8467630385488
"GMAN130",74.7010941043084
"VIET142",73.736910430839
"CHNS153",81.4085941043084
"RUSS145",68.7611904761905
"FREN170",64.7201133786848
"ENGL127",45.5767942176871
"ENGL121",79.8067800453515
"GMAN174",51.285341553288
"SOCY018",48.9134920634921
"ECON136",76.6297052154195
"ECON126",55.6865306122449
"MCDB303L",77.7426303854875
"E&EB225",70.2498526077098
"MCDB450",47.615602324263
"BENG249",68.1613378684807
"CPSC451",40.2232057823129
"ARCH009",54.8339682539683
"MUSI334",76.9975
"MUSI222",77.184574829932
"EENG481",48.1533630952381
"THST308",45.9851091269841
"THST314",50.074751984127
"MUSI351",46.4583290816327
"MB&B460L",82.0044274376417
"ENGL255",85.5991666666667
"ASTR356",65.8424659863946
"ANTH311",51.0505399659864
"ECON351",63.4146541950113
"ARCH433",43.9424263038549
"EP&E236",55.9925623582766
"HIST176J",50.8123979591837
"HIST072",43.2000921201814
"ECON475",54.7346371882086
"E&EB228",76.3672222222222
"HIST481J",46.8033971088435
"GLBL225",55.4594727891157
"LING368",49.567380952381
"LING148",53.2065476190476
"RUSS140",62.2534637188209
"CHEM167",54.4205045351474
"PHIL270",55.4417800453515
"MATH381",44.6768253968254
"HEBR120",72.0472052154195
"HEBR140",63.586485260771
"ANTH233",49.6461125283447
"GMAN376",46.9622179705215
"ART443",67.6408163265306
"PLSC233",48.6224844104308
"ART285",75.7176133786848
"PHYS206L",77.5877777777778
"ART145",73.3162074829932
"ART469",50.7114342403628
"MB&B251L",71.6784637188209
"FILM320",48.0050907029478
"MENG286L",62.0712244897959
"MENG389",59.9889002267574
"MUSI210",46.920447845805
"MUSI215",49.0671641156463
"ENGL135",65.3666680839002
"ENGL244",54.2153231292517
"PHYS181",53.3511068594104
"PHYS344",69.3231859410431
"CHEM333",61.707380952381
"PHYS171",61.3755839002268
"PHYS440",57.2652267573696
"PHIL443",52.7685544217687
"PHYS261",55.6743438208617
"LAST392",43.2849376417234
"CPSC112",74.819410430839
"ASTR156",51.2810515873016
"FILM350",80.9143934240363
"ENGL476",58.3129265873016
"ENGL246",75.1431519274376
"ENGL455",45.6942247732426
"ART136",57.1490816326531
"EALL308",40.7847278911565
"ENGL155",50.1060884353742
"E&EB380",65.9017970521542
"BRST220",46.138231292517
"GREK141",52.3946371882086
"AMST349",51.6627097505669
"HLTH450",61.9651927437642
"GLBL390",50.1182823129252
"CPSC200",59.6128741496599
"MATH108",66.1054875283447
"MATH116",62.1978401360544
"BENG352",57.7597335600907
"BENG465",59.9244387755102
"MCDB200",69.3746882086168
"MCDB370",60.1100623582766
"MENG390",55.9616964285714
"AMTH437",58.487970521542
"ENAS130",66.2831873582766
"ENVE410L",54.2652891156463
"MB&B105",51.77991638322
"CENG416",72.3435941043084
"CENG301",76.0027777777778
"ECON471",60.0032993197279
"G&G421",38.9416510770975
"STAT363",59.858066893424
"CHEM425",53.4990816326531
"MATH300",73.227074829932
"CPSC213",76.3051133786848
"CPSC413",72.6234467120181
"LING220",49.8059410430839
"MATH118",47.4266737528345
"MATH246",45.3854662698413
"GLBL121",54.5787089002268
"MATH112",67.9798185941043
"CPSC424",50.2863605442177
"CPSC365",46.9579620181406
"AMTH247",42.7305569727891
"AMTH222",30.9855001259763
"MATH225",36.5301856575964
"MATH120",42.5570833333333
"MATH435",33.7490460443437
"MATH325",44.3325637755102
